date,regime,risk_regime,risk_score,infl_score,infl_core_score,infl_sat_score,stocks_vams_state,gold_vams_state,btc_vams_state,stocks_target,gold_target,btc_target,stocks_scale,gold_scale,btc_scale,stocks_actual,gold_actual,btc_actual,cash,flip_watch_status,source
2025-09-22,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-09-23,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-09-24,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-09-25,GOLDILOCKS,RISK ON,1,0.0,0,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-09-26,GOLDILOCKS,RISK ON,2,0.0,0,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-09-29,GOLDILOCKS,RISK ON,2,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-09-30,GOLDILOCKS,RISK ON,2,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-01,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-02,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-03,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-06,GOLDILOCKS,RISK ON,2,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-07,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-08,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-09,GOLDILOCKS,RISK ON,1,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-10,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-13,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-14,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-15,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-16,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2025-10-17,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-20,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-21,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-22,GOLDILOCKS,RISK ON,0,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-23,GOLDILOCKS,RISK ON,1,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-24,GOLDILOCKS,RISK ON,1,-3.0,-3,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-27,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-28,GOLDILOCKS,RISK ON,1,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-29,GOLDILOCKS,RISK ON,2,-1.0,-1,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-30,GOLDILOCKS,RISK ON,2,-1.0,-1,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-10-31,GOLDILOCKS,RISK ON,2,-1.0,-1,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-11-03,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-11-04,GOLDILOCKS,RISK ON,0,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-11-05,GOLDILOCKS,RISK ON,2,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-11-06,GOLDILOCKS,RISK ON,0,-2.0,-2,0.0,2,2,0,0.6,0.3,0.1,1.0,1.0,0.5,0.6,0.3,0.05,0.050000000000000044,NONE,replay
2025-11-07,GOLDILOCKS,RISK ON,0,-2.0,-2,0.0,2,2,-2,0.6,0.3,0.1,1.0,1.0,0.0,0.6,0.3,0.0,0.10000000000000009,NONE,replay
2025-11-10,GOLDILOCKS,RISK ON,3,-2.0,-2,0.0,2,2,-2,0.6,0.3,0.1,1.0,1.0,0.0,0.6,0.3,0.0,0.10000000000000009,NONE,replay
2025-11-11,GOLDILOCKS,RISK ON,1,-1.0,-1,0.0,2,2,-2,0.6,0.3,0.1,1.0,1.0,0.0,0.6,0.3,0.0,0.10000000000000009,NONE,replay
2025-11-12,GOLDILOCKS,RISK ON,2,-2.0,-2,0.0,2,2,-2,0.6,0.3,0.1,1.0,1.0,0.0,0.6,0.3,0.0,0.10000000000000009,NONE,replay
