date,regime,risk_regime,risk_score,infl_score,infl_core_score,infl_sat_score,stocks_vams_state,gold_vams_state,btc_vams_state,stocks_target,gold_target,btc_target,stocks_scale,gold_scale,btc_scale,stocks_actual,gold_actual,btc_actual,cash,flip_watch_status,source
2017-12-29,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-01,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-02,REFLATION,RISK ON,2,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-03,REFLATION,RISK ON,2,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-04,REFLATION,RISK ON,2,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-05,REFLATION,RISK ON,1,1.0,1,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-08,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-09,REFLATION,RISK ON,1,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-10,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-11,REFLATION,RISK ON,1,4.0,4,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-12,REFLATION,RISK ON,0,4.0,4,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-15,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-16,REFLATION,RISK ON,-1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-17,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-18,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-19,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-22,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-23,REFLATION,RISK ON,2,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-24,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-25,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-26,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-29,REFLATION,RISK ON,1,4.0,4,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-30,REFLATION,RISK ON,1,4.0,4,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-01-31,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-01,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-02,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-05,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-06,REFLATION,RISK ON,1,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-07,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-08,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-09,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-12,REFLATION,RISK ON,1,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-13,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-14,REFLATION,RISK ON,1,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-15,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-16,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-19,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-20,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-21,REFLATION,RISK ON,0,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-22,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-23,REFLATION,RISK ON,1,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-26,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-27,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-02-28,REFLATION,RISK ON,2,2.0,2,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-01,REFLATION,RISK ON,0,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-02,REFLATION,RISK ON,2,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-05,REFLATION,RISK ON,3,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-06,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-07,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-08,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-09,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-12,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-13,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-14,REFLATION,RISK ON,4,3.0,3,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-15,REFLATION,RISK ON,4,4.0,4,0.0,2,2,2,0.6,0.3,0.1,1.0,1.0,1.0,0.6,0.3,0.1,1.1102230246251565e-16,NONE,replay
2018-03-16,REFLATION,RISK ON,4,4.0,4,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-03-19,REFLATION,RISK ON,1,4.0,4,0.0,0,2,0,0.6,0.3,0.1,0.5,1.0,0.5,0.3,0.3,0.05,0.35,NONE,replay
2018-03-20,REFLATION,RISK ON,2,4.0,4,0.0,0,2,0,0.6,0.3,0.1,0.5,1.0,0.5,0.3,0.3,0.05,0.35,NONE,replay
2018-03-21,REFLATION,RISK ON,3,4.0,4,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-03-22,REFLATION,RISK ON,0,4.0,4,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-03-23,REFLATION,RISK ON,-1,4.0,4,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-03-26,REFLATION,RISK ON,1,4.0,4,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-03-27,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-03-28,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-03-29,REFLATION,RISK ON,1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-03-30,REFLATION,RISK ON,1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-02,INFLATION,RISK OFF,-2,3.0,3,0.0,-2,2,0,0.3,0.3,0.05,0.0,1.0,0.5,0.0,0.3,0.025,0.675,NONE,replay
2018-04-03,INFLATION,RISK OFF,-1,3.0,3,0.0,-2,2,0,0.3,0.3,0.05,0.0,1.0,0.5,0.0,0.3,0.025,0.675,NONE,replay
2018-04-04,INFLATION,RISK OFF,0,3.0,3,0.0,-2,2,0,0.3,0.3,0.05,0.0,1.0,0.5,0.0,0.3,0.025,0.675,NONE,replay
2018-04-05,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-06,REFLATION,RISK ON,-2,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-09,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-10,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-11,REFLATION,RISK ON,-1,2.0,2,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-12,REFLATION,RISK ON,0,2.0,2,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-13,REFLATION,RISK ON,-1,3.0,3,0.0,-2,2,0,0.6,0.3,0.1,0.0,1.0,0.5,0.0,0.3,0.05,0.65,NONE,replay
2018-04-16,REFLATION,RISK ON,-1,2.0,2,0.0,0,2,0,0.6,0.3,0.1,0.5,1.0,0.5,0.3,0.3,0.05,0.35,NONE,replay
2018-04-17,REFLATION,RISK ON,-1,2.0,2,0.0,0,2,0,0.6,0.3,0.1,0.5,1.0,0.5,0.3,0.3,0.05,0.35,NONE,replay
2018-04-18,REFLATION,RISK ON,-1,3.0,3,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-04-19,REFLATION,RISK ON,0,3.0,3,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-04-20,REFLATION,RISK ON,-1,3.0,3,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-04-23,REFLATION,RISK ON,-1,1.0,1,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-04-24,REFLATION,RISK ON,-1,1.0,1,0.0,0,2,2,0.6,0.3,0.1,0.5,1.0,1.0,0.3,0.3,0.1,0.30000000000000004,NONE,replay
2018-04-25,REFLATION,RISK ON,-1,1.0,1,0.0,-2,2,2,0.6,0.3,0.1,0.0,1.0,1.0,0.0,0.3,0.1,0.6,NONE,replay
