date,ES1,XAU,XBT
1997-01-01,,369.65,
1997-01-02,,365.55,
1997-01-03,,361,
1997-01-06,,357.95,
1997-01-07,,358.85,
1997-01-08,,355.8,
1997-01-09,,357.55,
1997-01-10,,359.05,
1997-01-13,,358.6,
1997-01-14,,354,
1997-01-15,,352.5,
1997-01-16,,354.55,
1997-01-17,,355.55,
1997-01-20,,353.45,
1997-01-21,,352.9,
1997-01-22,,351,
1997-01-23,,352,
1997-01-24,,352.35,
1997-01-27,,356.25,
1997-01-28,,353.25,
1997-01-29,,351.25,
1997-01-30,,345.6,
1997-01-31,,344.35,
1997-02-03,,346.65,
1997-02-04,,344.25,
1997-02-05,,344.45,
1997-02-06,,342.45,
1997-02-07,,341.95,
1997-02-10,,341.05,
1997-02-11,,339.85,
1997-02-12,,342.85,
1997-02-13,,341,
1997-02-14,,345.2,
1997-02-17,,344.25,
1997-02-18,,345.65,
1997-02-19,,345.25,
1997-02-20,,350.75,
1997-02-21,,352.25,
1997-02-24,,353.45,
1997-02-25,,354.25,
1997-02-26,,354.25,
1997-02-27,,359.15,
1997-02-28,,363.45,
1997-03-03,,361.8,
1997-03-04,,358.95,
1997-03-05,,352.95,
1997-03-06,,352.15,
1997-03-07,,348.7,
1997-03-10,,351.5,
1997-03-11,,353.55,
1997-03-12,,352.3,
1997-03-13,,353.75,
1997-03-14,,352.25,
1997-03-17,,347.75,
1997-03-18,,349.85,
1997-03-19,,352,
1997-03-20,,351.5,
1997-03-21,,352.85,
1997-03-24,,350,
1997-03-25,,347.5,
1997-03-26,,350.35,
1997-03-27,,348.15,
1997-03-28,,349.75,
1997-03-31,,351.25,
1997-04-01,,351.95,
1997-04-02,,349.05,
1997-04-03,,348.85,
1997-04-04,,348.75,
1997-04-07,,348.05,
1997-04-08,,348.55,
1997-04-09,,348.05,
1997-04-10,,348.65,
1997-04-11,,346.95,
1997-04-14,,346.25,
1997-04-15,,342.05,
1997-04-16,,341.55,
1997-04-17,,342.55,
1997-04-18,,341.45,
1997-04-21,,342.9,
1997-04-22,,341.3,
1997-04-23,,341.35,
1997-04-24,,340.75,
1997-04-25,,341.95,
1997-04-28,,339.65,
1997-04-29,,339.95,
1997-04-30,,339.5,
1997-05-01,,340.45,
1997-05-02,,340.25,
1997-05-05,,342.85,
1997-05-06,,340.45,
1997-05-07,,341.45,
1997-05-08,,343.75,
1997-05-09,,348.05,
1997-05-12,,347.65,
1997-05-13,,349.5,
1997-05-14,,347.48,
1997-05-15,,347.55,
1997-05-16,,344.05,
1997-05-19,,341.45,
1997-05-20,,343.15,
1997-05-21,,342.95,
1997-05-22,,342.65,
1997-05-23,,342.6,
1997-05-26,,343,
1997-05-27,,344.1,
1997-05-28,,344.85,
1997-05-29,,345.75,
1997-05-30,,344.65,
1997-06-02,,344.45,
1997-06-03,,343.25,
1997-06-04,,341.25,
1997-06-05,,343.35,
1997-06-06,,343.65,
1997-06-09,,344.05,
1997-06-10,,344.05,
1997-06-11,,343.85,
1997-06-12,,341.55,
1997-06-13,,341.05,
1997-06-16,,342.65,
1997-06-17,,341.75,
1997-06-18,,339.25,
1997-06-19,,340.55,
1997-06-20,,337.7,
1997-06-23,,339.75,
1997-06-24,,337.55,
1997-06-25,,337.35,
1997-06-26,,338.25,
1997-06-27,,334.55,
1997-06-30,,333.95,
1997-07-01,,334.15,
1997-07-02,,331.15,
1997-07-03,,325.25,
1997-07-04,,324.5,
1997-07-07,,318,
1997-07-08,,319.85,
1997-07-09,,318.25,
1997-07-10,,319.9,
1997-07-11,,321.35,
1997-07-14,,319.95,
1997-07-15,,318.05,
1997-07-16,,318.05,
1997-07-17,,323.75,
1997-07-18,,328.95,
1997-07-21,,325.65,
1997-07-22,,325.25,
1997-07-23,,323,
1997-07-24,,323.38,
1997-07-25,,326,
1997-07-28,,328.63,
1997-07-29,,325.95,
1997-07-30,,326.05,
1997-07-31,,324.55,
1997-08-01,,324.75,
1997-08-04,,323.95,
1997-08-05,,320.65,
1997-08-06,,318.55,
1997-08-07,,321.95,
1997-08-08,,327.15,
1997-08-11,,328.45,
1997-08-12,,327.05,
1997-08-13,,326.85,
1997-08-14,,324.45,
1997-08-15,,326.05,
1997-08-18,,321.45,
1997-08-19,,323.25,
1997-08-20,,321.45,
1997-08-21,,323.88,
1997-08-22,,324.75,
1997-08-25,,324.7,
1997-08-26,,325.9,
1997-08-27,,325.45,
1997-08-28,,323.95,
1997-08-29,,324.15,
1997-09-01,,324.55,
1997-09-02,,322.5,
1997-09-03,,322,
1997-09-04,,321.35,
1997-09-05,,322.55,
1997-09-08,,321.95,
1997-09-09,934,321.5,
1997-09-10,915.25,321.45,
1997-09-11,908.5,324.25,
1997-09-12,924,323.75,
1997-09-15,921.75,323.45,
1997-09-16,946.25,320.75,
1997-09-17,945.75,320.25,
1997-09-18,948,320.65,
1997-09-19,961,320.85,
1997-09-22,966.25,320.95,
1997-09-23,962,321.95,
1997-09-24,954.5,323.25,
1997-09-25,946.5,327.15,
1997-09-26,953.25,326.75,
1997-09-29,961.75,328.25,
1997-09-30,954.5,334.45,
1997-10-01,963.5,333.75,
1997-10-02,969,331.45,
1997-10-03,975.5,334.85,
1997-10-06,980.25,332.55,
1997-10-07,989.5,331.45,
1997-10-08,982.25,333.25,
1997-10-09,978,327.75,
1997-10-10,976.75,329.65,
1997-10-13,976.25,328.45,
1997-10-14,977.5,327.95,
1997-10-15,973.5,325.35,
1997-10-16,959.75,325.85,
1997-10-17,948.75,325.25,
1997-10-20,962.25,323.65,
1997-10-21,979.5,322.7,
1997-10-22,974.25,322.45,
1997-10-23,955.5,323.65,
1997-10-24,944,309,
1997-10-27,874,311.13,
1997-10-28,924.5,316.35,
1997-10-29,924.25,313.85,
1997-10-30,903,316.25,
1997-10-31,924,311.45,
1997-11-03,945.75,313.55,
1997-11-04,942,313.95,
1997-11-05,947,313.55,
1997-11-06,942.25,312.45,
1997-11-07,931.25,310.25,
1997-11-10,926.25,310,
1997-11-11,926.5,309.3,
1997-11-12,908.25,307.25,
1997-11-13,919.25,308,
1997-11-14,932.5,303.35,
1997-11-17,950,303.85,
1997-11-18,942.5,306.25,
1997-11-19,947.75,303.95,
1997-11-20,963,303.05,
1997-11-21,969.5,304.95,
1997-11-24,949.75,302.85,
1997-11-25,951.75,299.15,
1997-11-26,955,296.55,
1997-11-27,,296.25,
